BIRD, NEST, dog, doghouse, squirrel, tree, beaver, dam, cat, litter, book, library, C
DALMATIAN, DOG, oriole, bird, horse, pony, shark, white, ant, insect, stock, savings, A
DOCTOR, HOSPITAL, sports, stadium, cow, farm, professor, college, criminal, jail, food, grocery, C
CUB, BEAR, piano, orchestra, puppy, dog, cat, kitten, eagle, predator, fork, utensil, B
TENET, THEOLOGIAN, predecessor, heir, hypothesis, biologist, recluse, rivalry, arrogance, persecution, guitarist, band, B
NEIGHBOR, PROXIMITY, teammate, competitiveness, supervisor, obedience, comrade, victory, adversary, opposition, traitor, loyalty, D
AUDACIOUS, BOLDNESS, remourseful, pride, deleterious, result, sanctimonious, hypocrisy, anonymous, identity, impressionable, temptation, C
PUNCTURE, TIRE, retract, statement, inflate, balloon, catch, fish, pierce, ear, owe, favor, D
CONTEMPORARIES, AGE, faculty, scholarship, idols, worship, kin, reunion, authors, anthology, housemates, residence, E
SANDPAPER, ABRASIVE, remedy, prescribed, analgestic, irritating, anger, justified, emollient, soothing, revenge, sweet, D
SELF-PORTRAIT, PAINTER, autobiography, writer, soliloquy, actor, interpretation, reader, manuscript, editor, philosophy, thinker, A
REJUVINATE, YOUTH, re-elect, president, review, play, reimburse, money, recuperate, disease, reiterate, item, C
PARTICLE, SMALL, water, wet, weather, cold, beggar, sly, clown, happy, lamb, vicious, A
ARROW, ARCHER, sea, sailor, choir, organ, song, singer, needle, tailor, actor, stage, D
SPEECH, INTRODUCTION, book, preface, speaker, audience, Preamble, Constitution, gun, race, overture, act, A
ANARCHIST, LAWS, federalist, union, insurgent, rebellion, despot, leadership, partisan, allegiance, pacifist, war, E
DEADPAN, EMOTION, mobile, movement, petty, openness, ambivalent, precision, lethargic, energy, distrustful, alertness, D
ETERNAL, DURATION, harmonious, music, temporary, time, dry, water, omnipotent, power, weak, control, D
SLUR, SPEECH, crack, pottery, scribble, writing, refresh, sleep, chirp, bird, fester, wound, B
OIL, VEGETABLE, chocolate, cocoa, hive, house, bird, insect, sunlight, plant, net, fish, A
SALUTATION, FAREWELL, army, navy, friendship, divorce, noon, midnight, plane, bus, birth, death, E
PARIAH, OSTRACISM, gourmand, food, collector, ownership, idol, adulation, scapegoat, symbol, protaganist, narrative, C
FLORID, PROSE, ornate, building, melodius, music, detailed, sketch, colorful, cliche, tragic, play, B
STIMULANT, ACTIVITY, diagnosis, treatment, gravity, force, fertilizer, growth, symptom, disease, food, hunger, C
TOURNIQUET, BLEEDING, relapse, condition, lotion, skin, hoist, elevating, splint, movement, inflation, expanding, D
DRIP, GUSH, CRY, LAUGH, CURL, ROLL, STREAM, TRIBUTARY, DENT, DESTROY, BEND, ANGLE, D
WALK, LEGS, GLEAM, EYES, CHEW, MOUTH, DRESS, HEM, COVER, BOOK, GRIND, NOSE, B
ENFRANCHISE, SLAVERY, EQUATION, MATHEMATICS, LIBERATE, CONFINE, BONDAGE, SUBJUGATION, APPEASEMENT, UNREASONABLE, ANATOMY, PHYSIOLOGY, B
